,buteurs,dates,match_places,minute,penalty,own_goal,full_name
0,"['22’', 'I.', 'Traoré']",22-Août-2020,Dijon,22,,,ITraoré
1,"['J.', 'Bamba', '40’']",22-Août-2020,Lille,40,,,JBamba
2,"['74’', 'D.', 'Da', 'Silva']",22-Août-2020,Lille,74,,,DDaSilva
3,"['A.', 'Disasi', '45’', '+2']",23-Août-2020,Monaco,452,,,ADisasi
4,"['B.', 'Badiashile', '55’']",23-Août-2020,Monaco,55,,,BBadiashile
5,"['05’', 'B.', 'Dia']",23-Août-2020,Monaco,5,,,BDia
6,"['21’', 'E.', 'Touré']",23-Août-2020,Monaco,21,,,ETouré
7,"['Y.', 'Wissa', '51’']",23-Août-2020,Lorient,51,,,YWissa
8,"['(s.p.)', 'A.', 'Grbic', '60’']",23-Août-2020,Lorient,60,(s.p.),,spAGrbic
9,"['P.', 'Hamel', '87’']",23-Août-2020,Lorient,87,,,PHamel
10,"['30’', 'M.', 'Chahiri']",23-Août-2020,Lorient,30,,,MChahiri
11,"['K.', 'Denkey', '08’']",23-Août-2020,Nîmes,8,,,KDenkey
12,"['B.', 'Meling', '31’']",23-Août-2020,Nîmes,31,,,BMeling
13,"['R.', 'Philippoteaux', '69’']",23-Août-2020,Nîmes,69,,,RPhilippoteaux
14,"['M.', 'Koné', '84’']",23-Août-2020,Nîmes,84,,,MKoné
15,"['A.', 'Gouiri', '23’']",23-Août-2020,Nice,23,,,AGouiri
16,"['A.', 'Gouiri', '75’']",23-Août-2020,Nice,75,,,AGouiri
17,"['11’', 'G.', 'Kakuta', '(s.p.)']",23-Août-2020,Nice,11,(s.p.),,GKakutasp
18,"['(s.p.)', 'T.', 'Savanier', '38’']",15-Septembre-2020,Montpellier,38,(s.p.),,spTSavanier
19,"['T.', 'Savanier', '59’']",15-Septembre-2020,Montpellier,59,,,TSavanier
20,"['82’', 'M.', 'Depay', '(s.p.)']",15-Septembre-2020,Montpellier,82,(s.p.),,MDepaysp
21,"['J.', 'Draxler', '90’', '+3']",16-Septembre-2020,Paris-SG,903,,,JDraxler
22,"['06’', 'R.', 'Hamouma']",17-Septembre-2020,Marseille,6,,,RHamouma
23,"['75’', 'D.', 'Bouanga']",17-Septembre-2020,Marseille,75,,,DBouanga
24,"['(s.p.)', 'M.', 'Depay', '39’']",28-Août-2020,Lyon,39,(s.p.),,spMDepay
25,"['(csc)', 'W.', 'Lautoa', '45’']",28-Août-2020,Lyon,45,,(csc),cscWLautoa
26,"['M.', 'Depay', '45’', '+1']",28-Août-2020,Lyon,451,,,MDepay
27,"['(s.p.)', 'M.', 'Depay', '66’']",28-Août-2020,Lyon,66,(s.p.),,spMDepay
28,"['14’', 'A.', 'Scheidler']",28-Août-2020,Lyon,14,,,AScheidler
29,"['(csc)', 'D.', 'Le', 'Tallec', '22’']",29-Août-2020,Rennes,22,,(csc),cscDLeTallec
30,"['E.', 'Camavinga', '77’']",29-Août-2020,Rennes,77,,,ECamavinga
31,"['90’', '+1', 'G.', 'Laborde']",29-Août-2020,Rennes,901,,,GLaborde
32,"['37’', 'K.', 'Dolberg', '(s.p.)']",29-Août-2020,Strasbourg,37,(s.p.),,KDolbergsp
33,"['59’', 'K.', 'Dolberg']",29-Août-2020,Strasbourg,59,,,KDolberg
34,"['32’', 'J.', 'Bamba']",30-Août-2020,Reims,32,,,JBamba
35,"['A.', 'Girotto', '11’']",30-Août-2020,Nantes,11,,,AGirotto
36,"['(s.p.)', 'I.', 'Louza', '27’']",30-Août-2020,Nantes,27,(s.p.),,spILouza
37,"['57’', 'Z.', 'Ferhat']",30-Août-2020,Nantes,57,,,ZFerhat
38,"['R.', 'Hamouma', '19’']",30-Août-2020,Saint-Étienne,19,,,RHamouma
39,"['R.', 'Hamouma', '51’']",30-Août-2020,Saint-Étienne,51,,,RHamouma
40,"['25’', 'J.', 'Maja']",30-Août-2020,Angers,25,,,JMaja
41,"['27’', 'T.', 'Basic']",30-Août-2020,Angers,27,,,TBasic
42,"['22’', 'B.', 'Badiashile']",30-Août-2020,Metz,22,,,BBadiashile
43,"['R.', 'Faivre', '45’', '+1']",30-Août-2020,Brest,451,,,RFaivre
44,"['G.', 'Charbonnier', '89’']",30-Août-2020,Brest,89,,,GCharbonnier
45,"['19’', 'F.', 'Thauvin']",30-Août-2020,Brest,19,,,FThauvin
46,"['27’', 'D.', 'Caleta-Car']",30-Août-2020,Brest,27,,,DCaletaCar
47,"['80’', 'D.', 'Caleta-Car']",30-Août-2020,Brest,80,,,DCaletaCar
48,"['I.', 'Ganago', '57’']","10-Septembre-2020,",Lens,57,,,IGanago
49,"['G.', 'Laborde', '18’']",12-Septembre-2020,Montpellier,18,,,GLaborde
50,"['D.', 'Congré', '50’']",12-Septembre-2020,Montpellier,50,,,DCongré
51,"['D.', 'Congré', '64’']",12-Septembre-2020,Montpellier,64,,,DCongré
52,"['69’', 'Dante']",12-Septembre-2020,Montpellier,69,,,Dante
53,"['(s.p.)', 'D.', 'Bouanga', '57’']",12-Septembre-2020,Saint-Étienne,57,(s.p.),,spDBouanga
54,"['M.', 'Camara', '82’']",12-Septembre-2020,Saint-Étienne,82,,,MCamara
55,"['L.', 'Araujo', '88’']",13-Septembre-2020,Lille,88,,,LAraujo
56,"['A.', 'Cubas', '37’']",13-Septembre-2020,Nîmes,37,,,ACubas
57,"['Z.', 'Ferhat', '55’']",13-Septembre-2020,Nîmes,55,,,ZFerhat
58,"['12’', 'S.', 'Guirassy']",13-Septembre-2020,Nîmes,12,,,SGuirassy
