,buteurs,dates,match_places,minute,penalty,own_goal,full_name
0,"['22’', 'I.', 'Traoré']",22-Août-2020,Dijon,22,,,I. Traoré
1,"['J.', 'Bamba', '40’']",22-Août-2020,Lille,40,,,J. Bamba
2,"['74’', 'D.', 'Da', 'Silva']",22-Août-2020,Lille,74,,,D. DaSilva
3,"['A.', 'Disasi', '45’', '+2']",23-Août-2020,Monaco,452,,,A. Diai
4,"['B.', 'Badiashile', '55’']",23-Août-2020,Monaco,55,,,B. Badiahile
5,"['05’', 'B.', 'Dia']",23-Août-2020,Monaco,5,,,B. Dia
6,"['21’', 'E.', 'Touré']",23-Août-2020,Monaco,21,,,E. Touré
7,"['Y.', 'Wissa', '51’']",23-Août-2020,Lorient,51,,,Y. Wia
8,"['(s.p.)', 'A.', 'Grbic', '60’']",23-Août-2020,Lorient,60,(s.p.),,A. Grbi
9,"['P.', 'Hamel', '87’']",23-Août-2020,Lorient,87,,,P. Hamel
10,"['30’', 'M.', 'Chahiri']",23-Août-2020,Lorient,30,,,M. Chahiri
11,"['K.', 'Denkey', '08’']",23-Août-2020,Nîmes,8,,,K. Denkey
12,"['B.', 'Meling', '31’']",23-Août-2020,Nîmes,31,,,B. Meling
13,"['R.', 'Philippoteaux', '69’']",23-Août-2020,Nîmes,69,,,R. Philippoteaux
14,"['M.', 'Koné', '84’']",23-Août-2020,Nîmes,84,,,M. Koné
15,"['A.', 'Gouiri', '23’']",23-Août-2020,Nice,23,,,A. Gouiri
16,"['A.', 'Gouiri', '75’']",23-Août-2020,Nice,75,,,A. Gouiri
17,"['11’', 'G.', 'Kakuta', '(s.p.)']",23-Août-2020,Nice,11,(s.p.),,G. Kakuta
18,"['(s.p.)', 'T.', 'Savanier', '38’']",15-Septembre-2020,Montpellier,38,(s.p.),,T. Savanier
19,"['T.', 'Savanier', '59’']",15-Septembre-2020,Montpellier,59,,,T. Savanier
20,"['82’', 'M.', 'Depay', '(s.p.)']",15-Septembre-2020,Montpellier,82,(s.p.),,M. Depay
21,"['J.', 'Draxler', '90’', '+3']",16-Septembre-2020,Paris-SG,903,,,J. Draxler
22,"['06’', 'R.', 'Hamouma']",17-Septembre-2020,Marseille,6,,,R. Hamouma
23,"['75’', 'D.', 'Bouanga']",17-Septembre-2020,Marseille,75,,,D. Bouanga
24,"['(s.p.)', 'M.', 'Depay', '39’']",28-Août-2020,Lyon,39,(s.p.),,M. Depay
25,"['(csc)', 'W.', 'Lautoa', '45’']",28-Août-2020,Lyon,45,,(csc),W. Lautoa
26,"['M.', 'Depay', '45’', '+1']",28-Août-2020,Lyon,451,,,M. Depay
27,"['(s.p.)', 'M.', 'Depay', '66’']",28-Août-2020,Lyon,66,(s.p.),,M. Depay
28,"['14’', 'A.', 'Scheidler']",28-Août-2020,Lyon,14,,,A. Sheidler
29,"['(csc)', 'D.', 'Le', 'Tallec', '22’']",29-Août-2020,Rennes,22,,(csc),D. LeTalle
30,"['E.', 'Camavinga', '77’']",29-Août-2020,Rennes,77,,,E. Camavinga
31,"['90’', '+1', 'G.', 'Laborde']",29-Août-2020,Rennes,901,,,G. Laborde
32,"['37’', 'K.', 'Dolberg', '(s.p.)']",29-Août-2020,Strasbourg,37,(s.p.),,K. Dolberg
33,"['59’', 'K.', 'Dolberg']",29-Août-2020,Strasbourg,59,,,K. Dolberg
34,"['32’', 'J.', 'Bamba']",30-Août-2020,Reims,32,,,J. Bamba
35,"['A.', 'Girotto', '11’']",30-Août-2020,Nantes,11,,,A. Girotto
36,"['(s.p.)', 'I.', 'Louza', '27’']",30-Août-2020,Nantes,27,(s.p.),,I. Louza
37,"['57’', 'Z.', 'Ferhat']",30-Août-2020,Nantes,57,,,Z. Ferhat
38,"['R.', 'Hamouma', '19’']",30-Août-2020,Saint-Étienne,19,,,R. Hamouma
39,"['R.', 'Hamouma', '51’']",30-Août-2020,Saint-Étienne,51,,,R. Hamouma
40,"['25’', 'J.', 'Maja']",30-Août-2020,Angers,25,,,J. Maja
41,"['27’', 'T.', 'Basic']",30-Août-2020,Angers,27,,,T. Bai
42,"['22’', 'B.', 'Badiashile']",30-Août-2020,Metz,22,,,B. Badiahile
43,"['R.', 'Faivre', '45’', '+1']",30-Août-2020,Brest,451,,,R. Faivre
44,"['G.', 'Charbonnier', '89’']",30-Août-2020,Brest,89,,,G. Charbonnier
45,"['19’', 'F.', 'Thauvin']",30-Août-2020,Brest,19,,,F. Thauvin
46,"['27’', 'D.', 'Caleta-Car']",30-Août-2020,Brest,27,,,D. CaletaCar
47,"['80’', 'D.', 'Caleta-Car']",30-Août-2020,Brest,80,,,D. CaletaCar
48,"['I.', 'Ganago', '57’']","10-Septembre-2020,",Lens,57,,,I. Ganago
49,"['G.', 'Laborde', '18’']",12-Septembre-2020,Montpellier,18,,,G. Laborde
50,"['D.', 'Congré', '50’']",12-Septembre-2020,Montpellier,50,,,D. Congré
51,"['D.', 'Congré', '64’']",12-Septembre-2020,Montpellier,64,,,D. Congré
52,"['69’', 'Dante']",12-Septembre-2020,Montpellier,69,,,D. ante
53,"['(s.p.)', 'D.', 'Bouanga', '57’']",12-Septembre-2020,Saint-Étienne,57,(s.p.),,D. Bouanga
54,"['M.', 'Camara', '82’']",12-Septembre-2020,Saint-Étienne,82,,,M. Camara
55,"['L.', 'Araujo', '88’']",13-Septembre-2020,Lille,88,,,L. Araujo
56,"['A.', 'Cubas', '37’']",13-Septembre-2020,Nîmes,37,,,A. Cuba
57,"['Z.', 'Ferhat', '55’']",13-Septembre-2020,Nîmes,55,,,Z. Ferhat
