,match_id,player_id,goal_type,created_at,updated_at
0,2020-08-22 Dijon,I. Traoré Angers,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
1,2020-08-22 Lille,J. Bamba Lille,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
2,2020-08-22 Lille,D. Da Silva Rennes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
3,2020-08-23 Monaco,A. Disasi Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
4,2020-08-23 Monaco,B. Badiashile Monaco,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
5,2020-08-23 Monaco,B. Dia Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
6,2020-08-23 Monaco,E. Touré Reims,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
7,2020-08-23 Lorient,Y. Wissa Lorient,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
8,2020-08-23 Lorient,A. Grbic Lorient,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
9,2020-08-23 Lorient,P. Hamel Lorient,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
10,2020-08-23 Lorient,M. Chahiri Strasbourg,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
11,2020-08-23 Nîmes,K. Denkey Nîmes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
12,2020-08-23 Nîmes,B. Meling Nîmes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
13,2020-08-23 Nîmes,R. Philippoteaux Nîmes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
14,2020-08-23 Nîmes,M. Koné Nîmes,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
15,2020-08-23 Nice,A. Gouiri Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
16,2020-08-23 Nice,A. Gouiri Nice,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
17,2020-08-23 Nice,G. Kakuta Lens,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
18,2020-09-15 Montpellier,T. Savanier Montpellier,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
19,2020-09-15 Montpellier,T. Savanier Montpellier,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
20,2020-09-15 Montpellier,M. Depay Lyon,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
21,2020-09-16 Paris,J. Draxler Paris,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
22,2020-09-17 Marseille,R. Hamouma Saint-Étienne,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
23,2020-09-17 Marseille,D. Bouanga Saint-Étienne,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
24,2020-08-28 Lyon,M. Depay Lyon,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
25,2020-08-28 Lyon,W. Lautoa Lyon,own_goal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
26,2020-08-28 Lyon,M. Depay Lyon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
27,2020-08-28 Lyon,M. Depay Lyon,penalty,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
28,2020-08-28 Lyon,A. Scheidler Dijon,normal,2021-07-02 20:04:36.099259,2021-07-02 20:04:36.101412
