,full_name,birthdate,team_id,position,nationality,created_at,updated_at
0,P. Bernardoni,18/04/97,Angers Sporting Club de l'Ouest,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
1,L. Butelle,3/04/83,Angers Sporting Club de l'Ouest,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
2,D. Petkovic,25/05/93,Angers Sporting Club de l'Ouest,Gar.,MNE,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
3,A. Bamba,25/04/90,Angers Sporting Club de l'Ouest,Déf.,CIV,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
4,K. Boma,20/11/02,Angers Sporting Club de l'Ouest,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
5,E. Diaw,31/12/94,Angers Sporting Club de l'Ouest,Déf.,SEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
6,S. Doumbia,24/09/96,Angers Sporting Club de l'Ouest,Déf.,CIV,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
7,I. Dramé,,Angers Sporting Club de l'Ouest,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
8,E. Ebosse,11/03/99,Angers Sporting Club de l'Ouest,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
9,O. Falouh,12/07/99,Angers Sporting Club de l'Ouest,Déf.,MAR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
10,V. Manceau,10/07/89,Angers Sporting Club de l'Ouest,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
11,M. Pavlovic,9/06/90,Angers Sporting Club de l'Ouest,Déf.,CRO,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
12,R. Thomas,12/06/88,Angers Sporting Club de l'Ouest,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
13,I. Traoré,18/08/86,Angers Sporting Club de l'Ouest,Déf.,CIV,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
14,I. Amadou,6/04/93,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
15,K. Bemanga,20/04/98,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
16,A. Bobichon,14/09/95,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
17,S. Boufal,17/09/93,Angers Sporting Club de l'Ouest,Mil.,MAR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
18,J. Cabot,18/04/94,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
19,P. Capelle,15/04/87,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
20,M. Cho,19/01/04,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
21,L. Coulibaly,10/04/96,Angers Sporting Club de l'Ouest,Mil.,MLI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
22,A. Fulgini,20/08/96,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
23,T. Mangani,29/04/87,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
24,K. Mouanga,24/07/00,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
25,Z. Ould Khaled,14/01/00,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
26,M. Pereira Lage,30/11/96,Angers Sporting Club de l'Ouest,Mil.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
27,W. Taïbi,7/03/02,Angers Sporting Club de l'Ouest,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
28,R. Alioui,18/06/92,Angers Sporting Club de l'Ouest,Att.,MAR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
29,S. Bahoken,28/05/92,Angers Sporting Club de l'Ouest,Att.,CAM,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
30,L. Diony,20/12/92,Angers Sporting Club de l'Ouest,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
31,F. El-Melali,13/07/97,Angers Sporting Club de l'Ouest,Att.,ALG,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
32,N. Fatar,15/02/02,Angers Sporting Club de l'Ouest,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
33,Y. Fortuné,30/01/99,Angers Sporting Club de l'Ouest,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
34,S. Thioub,1/06/95,Angers Sporting Club de l'Ouest,Att.,SEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
35,S. Thioub,1/06/95,Angers Sporting Club de l'Ouest,Att.,SEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
36,B. Costil,3/07/87,Football Club des Girondins de Bordeaux,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
37,D. Lima Semedo,27/04/02,Football Club des Girondins de Bordeaux,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
38,C. Michel,20/03/00,Football Club des Girondins de Bordeaux,Gar.,BEL,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
39,G. Poussin,13/01/99,Football Club des Girondins de Bordeaux,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
40,D. Rouyard,17/08/99,Football Club des Girondins de Bordeaux,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
41,P. Baysse,18/05/88,Football Club des Girondins de Bordeaux,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
42,L. Benito,7/01/92,Football Club des Girondins de Bordeaux,Déf.,SUI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
43,L. Bessilé,19/02/99,Football Club des Girondins de Bordeaux,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
44,M. Bokélé Mputu,12/02/00,Football Club des Girondins de Bordeaux,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
45,D. Cardoso,13/12/94,Football Club des Girondins de Bordeaux,Déf.,MAO,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
46,V. Jovanovic,17/05/96,Football Club des Girondins de Bordeaux,Déf.,SER,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
47,L. Koscielny,10/09/85,Football Club des Girondins de Bordeaux,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
48,E. Kwateng,9/04/97,Football Club des Girondins de Bordeaux,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
49,E. Mexer,8/09/88,Football Club des Girondins de Bordeaux,Déf.,MOZ,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
50,M. Poundjé,16/08/92,Football Club des Girondins de Bordeaux,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
51,Y. Sabaly,5/03/93,Football Club des Girondins de Bordeaux,Déf.,SEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
52,I. Sow,19/02/01,Football Club des Girondins de Bordeaux,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
53,Y. Adli,29/07/00,Football Club des Girondins de Bordeaux,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
