,match_id,team_id,home,team_goals,points,created_at,updated_at
0,2020-08-21 19:00:00+02:00 Bordeaux,Bordeaux,True,0,1,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
1,2020-08-22 17:00:00+02:00 Dijon,Dijon,True,0,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
2,2020-08-22 21:00:00+02:00 Lille,Lille,True,1,1,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
3,2020-08-23 13:00:00+02:00 Monaco,Monaco,True,2,1,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
4,2020-08-23 15:00:00+02:00 Lorient,Lorient,True,3,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
5,2020-08-23 15:00:00+02:00 Nîmes,Nîmes,True,4,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
6,2020-08-23 17:00:00+02:00 Nice,Nice,True,2,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
7,2020-09-15 21:00:00+02:00 Montpellier,Montpellier,True,2,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
8,2020-09-16 21:00:00+02:00 Paris,Paris,True,1,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
9,2020-09-17 21:00:00+02:00 Marseille,Marseille,True,0,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
10,2020-08-28 21:00:00+02:00 Lyon,Lyon,True,4,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
11,2020-08-29 17:00:00+02:00 Rennes,Rennes,True,2,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
12,2020-08-29 21:00:00+02:00 Strasbourg,Strasbourg,True,0,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
13,2020-08-30 13:00:00+02:00 Reims,Reims,True,0,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
14,2020-08-30 15:00:00+02:00 Nantes,Nantes,True,2,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
15,2020-08-30 15:00:00+02:00 Saint-Étienne,Saint-Étienne,True,2,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
16,2020-08-30 15:00:00+02:00 Angers,Angers,True,0,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
17,2020-08-30 15:00:00+02:00 Metz,Metz,True,0,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
18,2020-08-30 21:00:00+02:00 Brest,Brest,True,2,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
19,2020-09-10 21:00:00+02:00 Lens,Lens,True,1,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
20,2020-09-11 21:00:00+02:00 Bordeaux,Bordeaux,True,0,1,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
21,2020-09-12 17:00:00+02:00 Montpellier,Montpellier,True,3,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
22,2020-09-12 21:00:00+02:00 Saint-Étienne,Saint-Étienne,True,2,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
23,2020-09-13 13:00:00+02:00 Lille,Lille,True,1,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
24,2020-09-13 15:00:00+02:00 Nîmes,Nîmes,True,2,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
25,2020-09-13 15:00:00+02:00 Lorient,Lorient,True,2,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
26,2020-09-13 15:00:00+02:00 Angers,Angers,True,1,3,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
27,2020-09-13 15:00:00+02:00 Dijon,Dijon,True,0,0,2021-07-02 11:07:34.093920,2021-07-02 11:07:34.571565
